name,address,timings,coordinates,phone number
Mann Hardware And Electric Store,.H No. 1880 Ground Floor Narela Road Alipur Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.814927,77.183024",NULL
Bhagwati Traders,Main Bakhtavar Pur Road New Subhash Chowk Delhi-110036,Opens 09:00 AM - Closes 21:00 PM,"28.814927,77.183024",9212064100
R.n.traders,Subhash Chowkopp. Veena Art Press Hiranki Mode Bakhtawarpur,Opens 09:00 AM - Closes 21:00 PM,"28.8225,77.1718",9278325450
Bhagwati Traders,Main Bakhtavar Pur Road New Subhash Chowk New Delhi - 110036,Opens 09:00 AM - Closes 21:00 PM,"28.822,77.1713",9212064100
Durga Traders,141 Block 5 Agarwal Mandi Tateri Baghpat,Opens 09:00 AM - Closes 21:00 PM,"28.986242,77.297978",9760980827
Shree Ram Traders,Main Budh Bazar Road Nathupura Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.7723,77.1734",9582753447
Df Paints,313/76c Kh. No. 699/290 Ground Floortulsi Nagarnear Lal S,Opens 09:00 AM - Closes 21:00 PM,"28.78154,77.15022",9212995742
M/s Jain H/w Sanitary,Alipur Narela Road Delhi-36,Opens 09:00 AM - Closes 21:00 PM,"28.7584,77.1496",NULL
Jain Paints Hardware & Sanitary,A-88 Shiv Mandir Road Saroop Nagar New Delhi-110042.,Opens 09:00 AM - Closes 21:00 PM,"28.7585,77.1494",9015391599
Goyal Paint & Hardware Store,176/2 Gali No-7 Jeevan Park New Delhi-110042,Opens 09:00 AM - Closes 21:00 PM,"28.7561,77.1402",9990675444
Puri Cement Co.,A60 Khasra No 32 And 255 Khata No 7/95 Main Road Johripur-110095,Opens 09:00 AM - Closes 21:00 PM,"28.71431,77.28404",9716275533
Laxmi Electricals Paints & H/w Stor,Tarif Singh Market Main Bus Stand Siraspur Delhi 110042,Opens 09:00 AM - Closes 21:00 PM,"28.7596,77.1291999999999",9818181328
Mbh Sanitary & Paints,F-260 Main Brijpuri Mustafabad Road Bhagirathi Vihar Phase-1 Delhi-110094,Opens 09:00 AM - Closes 21:00 PM,"28.7115,77.2774",9910566702
New Sharma Paint & H/w Store,A-49 Johri Pur Roadchaman Park Karawal Nagar,Opens 09:00 AM - Closes 21:00 PM,"28.71115,77.28936",9810011163
R D Traders,A-65 Suraj Park Village Badli New Delhi 110042,Opens 09:00 AM - Closes 21:00 PM,"28.7484599999999,77.13776",9811240592
M/s Sharma Paint House,89 Main Market Aminagar Sarai Baghpat 250606,Opens 09:00 AM - Closes 21:00 PM,"28.9971649999999,77.4128189999999",9084075777
Yadav Electricals,A-148/1 Raja Vihar Badli Industrial Area New Delhi,Opens 09:00 AM - Closes 21:00 PM,"28.7484,77.1307",9958681068
Saraswat Trading Company,D 62 Swami Shardha Nand Colony Near Main Road Bhalswa Dairy Road Delhi-110042,Opens 09:00 AM - Closes 21:00 PM,"28.757286,77.119752",NULL
Sharma Electric & H/w Paints Stores,7 Baldev Park Parwana Road Delhi-110051,Opens 09:00 AM - Closes 21:00 PM,"28.7083,77.3111",9971537211
Bansal Colours Provate Limited,B-20 Jyoti Colony Timber Market Loni Road Shahdara Delhi--110032,Opens 09:00 AM - Closes 21:00 PM,"28.70485,77.29115",9312660045
Sharma Traders,"Main Road ""Khera Khurd "" Delhi",Opens 09:00 AM - Closes 21:00 PM,"28.7768,77.0994",9136212108
Nitin Hardware And Sanitary Store,B-10 11 Gokal Puri Delhi-110094,Opens 09:00 AM - Closes 21:00 PM,"28.7032,77.28297",9818752179
Diksha Traders,Shop No-33 Block-B Sec-18rohini,Opens 09:00 AM - Closes 21:00 PM,"28.74044,77.1358699999999",9899529969
Paras Paints & Electric Store,Shop No G-15 Aditya Complex C 3 Block Yamuna Vihar Near Delhi Sehakari Bank,Opens 09:00 AM - Closes 21:00 PM,"28.7011599999999,77.2737",9871681125
Sitapur Sanitry & Paint Store,Hardoi Road Chungi Sitapur,Opens 09:00 AM - Closes 21:00 PM,"27.629581,80.610489",9839370860
Devendra Paints & Hardware,159 Arya Nagar Vijaya Laxmi Nagar Sitapur U.P,Opens 09:00 AM - Closes 21:00 PM,"27.629581,80.610489",7275251410
Dammooji Building Material Supply C,Ghasmandi Sitapur. 0,Opens 09:00 AM - Closes 21:00 PM,"27.629581,80.610489",9936549767
Kuber Paints,349 Ghantaghar Road Near Phatphat Alam Nagar Sitapur Uttar Pradesh- 261001,Opens 09:00 AM - Closes 21:00 PM,"27.629581,80.610489",9161135409
Sri Shyam Paints & Hardware Store,13 Vijaya Laxmi Nagar Near Bus Stand Sitapur,Opens 09:00 AM - Closes 21:00 PM,"27.629581,80.610489",9335424142
Rahul Paints,Ghanta Gharnear Pnb Bank Sitapur Sitapur,Opens 09:00 AM - Closes 21:00 PM,"27.629581,80.610489",9336428230
Amit Ply And Hardware,Bhatta Calony Badagaon Road Maholi Sitapur,Opens 09:00 AM - Closes 21:00 PM,"27.7134229999999,80.477147",NULL
Sri Kunj Bihari Traders,Muradnagar Hargaon Sitapur Uttar Pradesh- 261121,Opens 09:00 AM - Closes 21:00 PM,"27.731568,80.7436139999999",9984420115
Anand Paints,Hiralal Dharamshalal Crossin Lakhimpur U P,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9839310684
Salim Hardware,Main Road Kheri Town Lakhimpur 262702,Opens 09:00 AM - Closes 21:00 PM,"27.922125,80.726985",9026077083
Shakir Ali And Sons,Lakhimpur Kheri (Town),Opens 09:00 AM - Closes 21:00 PM,"27.922125,80.726985",7376648007
Bharat Hardware & Sainetary Stores,Katchehry Road Lakhimpur Kheri,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",8858602256
Rajpal Machinary Store,Near Allahabad Bank Sampurna Nagar Khiri,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9415558169
M/s Udai & Shami Hardware,Mela Maidan Lakhimpur,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9415172628
J. N. Trading Co.,Mela Road Dwarikapuri Lakhimpur Kheri,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9839164790
Deepak Hardware,Lrp Road Ramapur Lakhimpur Kheer Uttar Pradesh-262701,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9889722010
Jaiswal Hardware Stores,Mela Road Lakhimpur-262701. U.P.,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9415461004
Siddiqui Traders,Court Road Lakhimpur Kheri Lakhimpur Kheri,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9956667868
Dashmesh Paint House,Near Bus Stand Nighasan Road Lakhimpur Kheri U.P - 262701,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9839809973
Patel Hardware & Sanitary Store,Sitapur Road Lakhimpur Sitapur Road Lakhimpur Lakhimpur,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9839294752
Shri Balaji Hardwear,Near Behjam Bus Stop Sraswati Devi Calony Lakhimpur Kheeri,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9648465791
Verma Hardware Stores,Lrp Baipass Gola Road Lakhimpur Kheri Lakhimpur Kheri,Opens 09:00 AM - Closes 21:00 PM,"28.007304,80.699263",9773587575
Krishna Paints & Hardware Store,Puravi Dixitana Khutar Road Gola Gola Lakhimpur,Opens 09:00 AM - Closes 21:00 PM,"28.038438,80.477147",9044980677
Anuj Paints,Mohammdi Road Gola Lakhimpur,Opens 09:00 AM - Closes 21:00 PM,"28.038438,80.477147",9839090160
Kumar Building & Mill Stores,J P Road Pilibhit Pilibhit,Opens 09:00 AM - Closes 21:00 PM,"28.612903,79.7848419999999",9411494423
Agarwal Paint Centre,Opp . Old City Post Office Bareilly Road Pilibhit,Opens 09:00 AM - Closes 21:00 PM,"28.612903,79.7848419999999",9411690095
Brahm Prakash & Bros.,Loha Bazaar Pilibhit Pilibhit,Opens 09:00 AM - Closes 21:00 PM,"28.612903,79.7848419999999",9997840123
Modern Building Store,Gas Ka Chauraha Station Road Pilibhit,Opens 09:00 AM - Closes 21:00 PM,"28.612903,79.7848419999999",9219563577
Maa Durga Paint Store,Degree College Road Opp Ggic Inter College Pilibheet,Opens 09:00 AM - Closes 21:00 PM,"28.612903,79.7848419999999",9837457542
Agarwal Plywood & Glass Center,Bareilly Road Pilibhit,Opens 09:00 AM - Closes 21:00 PM,"28.612903,79.7848419999999",9411690095
Sai Glass Store,Hospital Road Tanakpur Dist-Champawat Uttaranchal,Opens 09:00 AM - Closes 21:00 PM,"29.0620401999999,80.1035305999999",9536867884
Azad D?cor,"Abdullah Bulding, Haldwani - 263139",Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9927079611
Bholenath Paints,Near Prince Hotel Galla Mandi Road Rudrapur,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9927683000
Kant Paints & H/w,Opp Shadi Junction Banquet Near Bhartiya Bal Vidhya Mandir Sch Kaladhungi Roadmukhani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9412017170
Arora Hardware,U-14near Gurudwara Gate Gole Market Rudrapur,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9760015141
Shivalik Trading Company,Shop No 23shri Angad Complexrudra Udhamsingh Nagar,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9012542000
Aman Hardware Store,A-23 Adarsh Colony Opp. Gurunanak Inter College Rudrapur,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9837261680
Kalra Paints,Pragti Vihar Hotel Midtown Lane Rudrapur,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",8057025525
Gaurav Paints And Hardware,I-63 Transit Camp Rudrapur Udham Singh Nagar,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9756683402
M/s Sadguru Traders,Plot No-11 Beside-Himalayan Progre School Haldwani Road Kichha,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",7500012129
Ambika Paint & Sanitaries,Behind Sanatan D.K.I. College Rudrapur Udham Singh Nagar,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9897694701
Narang Hardware Store,Galla Mandi Road Opp. Prince Hotel Rudrapur,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9837544434
Shiv Hardware And Agriculture Store,Gole Market Rudarpur Udham Singh Nagar,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9837329034
Aaniya Traders,Swaget Enclave Bhurani Rudarpur,Opens 09:00 AM - Closes 21:00 PM,"29.008731,79.3916049999999",9012542000
Maa Bhagwati Sanitary Gallery,Main Market Rameshwarpur Road Lalpur - Udhamsingh Nagar,Opens 09:00 AM - Closes 21:00 PM,"28.932638,79.4478859999999",9639309319
M/s Swastik Paint & Marble House,Shop No. A-1 Darau Cuoraha Bareilly Road Kichha,Opens 09:00 AM - Closes 21:00 PM,"28.932638,79.4478859999999",NULL
Devendra Iron Store,Main Market Kichha Udham Singh Nagar,Opens 09:00 AM - Closes 21:00 PM,"28.932638,79.4478859999999",9837083960
Krishna Hardwares Stores,Rudrapur Road Kichha Uttarakhand,Opens 09:00 AM - Closes 21:00 PM,"28.932638,79.4478859999999",9897029105
Chabra Paint,Opposite To Anupam Cinema Hall Kiccha,Opens 09:00 AM - Closes 21:00 PM,"28.932638,79.4478859999999",9927261205
M/s Vaibhav Traders,Shop No. 9 Gangapur Roadoasis Colonyvillage Udham Singh Nagar,Opens 09:00 AM - Closes 21:00 PM,"28.932638,79.4478859999999",9760017769
Ravi Hardware,Bareilly Road Kichha Kichha,Opens 09:00 AM - Closes 21:00 PM,"28.932638,79.4478859999999",9997147436
Dhaniprem Builders,Kaladungi Road Haldwani Uttarakhand,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",NULL
Prithvi Plywoods & Glass,Near Transport Nagar Rampur Road Haldwani Nainital,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",NULL
Pooja Building Material Store,Gayatri Nagar Gas Gaudam Road Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",7251879916
M/s Om Trading Company,Gaujasaal Rajarani Vihar Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9837357872
Mehra Traders,Near Hanuman Mandir Rto Office Road Kusumkhera Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9410119738
M/s New A.b.traders,Bhagwanpur Road Himmatpur Mallah Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9759304629
Ma Sambhawi Traders,Vill- Jeetpur Negi-P.O Manpur West Rampur Road,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9917108308
M/s Rang Sagar,Devalchore Near Transport Nagar Rampur Road,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9927026056
Shiva Traders,Main Road Kusumkhera Chauraha Kaladungi Road Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9837913282
Astha Traders,Gram - Dahariya P.O. - Manpur West Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",NULL
Anand Sainetery And Hardware Store,Old Iti Bareilly Road Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9568296526
Vindyawasaini Paints & Hardware,Main Crossing Uncha Pool Near Ram Leela Maidan Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9720773077
Shree Kisan Steels,Near Suzuki Showroom Gaujajalibareilly Road Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",NULL
Parvatiya Agencies,Kaladungi Road Mukhani Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9837367113
Maa Mallika Traders,Dwarikapuri Colony Bharat Gas Godam Road Kusumkhera - Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9410965588
Moti Sons,Na-Amar Vihar Pilikothi - Bari Mukhani Nainital,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",8006440044
Pandey Paints & Agriculture Store,Halduchaur Parma Halduchaur Lalkuan,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",8394999991
Shri Jagnath Trading Company,Khera Road Golapar Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",7534940007
New Azad Hardware And Paint Store,Nal Bazar Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9927079611
Blm Works Private Limited,Mittal Bhawan Opposite Sk Puram Kamalvaganja Road.Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9927088833
Kesari Marble,Kaladungi Road Unchapul Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9412613003
Chunni Lal Dev Raj,Patel Chowk Haldwani Uttarakhand,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9837015795
Dumka Traders,Haldu Chaud Bareilly Road Lalkuan,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",NULL
Sri Mahakali Traders,Kusumkhera Chauraha Near Hanuman Mandir Haldwani Nainital,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9719000755
Krishna Enterprises,Himmatpur Talla Kaladungi Road Kamalwagaja,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",959695347
Shubh Enterprises,Haripur Kamaluaganja Road Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",NULL
Ankit Paints & H/w Store,Main Bazar Kaladungi Kaladungi Nanital,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9411199361
Astha Marbles,Manpur North Mandi Haldwani,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",9837365704
Siddhant Traders,Nawarh Halduchaur Lalkuan,Opens 09:00 AM - Closes 21:00 PM,"29.152064,79.605288",8958904252
B.saran And Company,Link Road Pithoragarh Pithoragarh,Opens 09:00 AM - Closes 21:00 PM,"29.6345789999999,80.209822",9917088668
Shubham Traders,Siltham Pithoragarh Pithoragrh,Opens 09:00 AM - Closes 21:00 PM,"29.6345789999999,80.209822",9412042160
Vasundra Hardwares,Simal Gair Bazar Pithoragarh Uttarakhand,Opens 09:00 AM - Closes 21:00 PM,"29.6345789999999,80.209822",9412095744
M/s Gangawali Paints,Post Office Line Naya Bazar Gangolighatpithogarh,Opens 09:00 AM - Closes 21:00 PM,"29.6345789999999,80.209822",9756508794
Bohra Hardware,Takana Road Pithoragarh Uttarakhand,Opens 09:00 AM - Closes 21:00 PM,"29.6345789999999,80.209822",9412927176
Punera Hardware And General Store,Chandak Pittorahgarh,Opens 09:00 AM - Closes 21:00 PM,"29.6345789999999,80.209822",9412952159
Joshi Hardware,Chandra Bhaga Po:- Ancholi Pithoragarh,Opens 09:00 AM - Closes 21:00 PM,"29.6345789999999,80.209822",9756206692
Joshi Glass Paint And Hardware,Purana Bazar Wadda Pithoragarh,Opens 09:00 AM - Closes 21:00 PM,"29.549319,80.299025",9761368147
Upreti Hardware,Main Market Po:- Didihat Didihat,Opens 09:00 AM - Closes 21:00 PM,"29.772216,80.209822",NULL
Bharra Hardware,Near State Bank Bageshwar Bageswar,Opens 09:00 AM - Closes 21:00 PM,"29.829797,79.7624179999999",9410307933
Digamber Enterprises,Jwala Devi Ward Tehsil Road Bageshwar,Opens 09:00 AM - Closes 21:00 PM,"29.829797,79.7624179999999",NULL
Palni Hardware & Glass House,Tehsil Road Bageshwar Uttrakhand,Opens 09:00 AM - Closes 21:00 PM,"29.829797,79.7624179999999",9411131603
Sunder Singh Negi And Sons,Garur Bazar Bageshwar,Opens 09:00 AM - Closes 21:00 PM,"29.901993,79.661438",9412994237
Subhagpur Lime Co.,Station Road Gonda Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9919984888
M/s Jaiswal Iron Tredas,Babaganj Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.138319,81.980753",7860814141
Shree Shyam Sanitary And Paints,Circular Road Awas Vikas Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16784,81.9862059999999",9628489111
Tiranga Hardware And Paints,Station Road Gonda Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9935250164
Sanjay Traders,Pantnagar Near Kachahari Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9984565045
Tripathi Traders,Near Zila Parishad Bahraich Road 0,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9838705551
Raja Paints & Hardware,Ambedkar Choraha Near Kachehari Gon,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",NULL
Cheep Traders,Near Jigar Inter College Faizabad Road Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9935654781
Shree Balaji Paints,Shree Balaji Paints Eidgaha Road Opp. Pandey Talab Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9839616796
Sanjay H/w And Paints Store,Chowk Bazar Dhaneypur Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9919037496
Kisan Mill Stores,Fiazabad Road Awas Vikas Colony Near Bank Of Baroda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9936166279
Vikas Lime Company,Arya Nagar Bahraich Road Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9695783074
Sanjay Hardware & Paints,Belsar Road Mohalla Mewatiyan,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9839673486
Remesh Enterprises,Kacheri Road Near Degree College Gonda.,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9415120451
Jay Maa Ambey Glass & Paint House,Uttraulla Road Near Maharajganj Police Chowki Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9795291616
M/s Prakash Mill Store,Gandhi Nagar Colonel Ganj Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9415454200
Chaman Paint Store,Mohalla Rastogi Khargupur Bazaar Distt. Gonda Up,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9793345742
Kisan Paints & Hardware Store,Maharaj Ganj Utraulla Road 0,Opens 09:00 AM - Closes 21:00 PM,"27.16282,81.898908",9236896409
M/s Kesherwani Tile And Paints,Anandbag Bhagwatiganj Balrampur,Opens 09:00 AM - Closes 21:00 PM,"27.445682,82.1496049999999",9918661405
Kesarwani Tile And Paints,Anandbag Bhagwatiganj Balrampur,Opens 09:00 AM - Closes 21:00 PM,"27.445682,82.1496049999999",9918661405
Mangal Prasad Lohia,Near Sabzi Mandi Balrampur,Opens 09:00 AM - Closes 21:00 PM,"27.445682,82.1496049999999",9839016140
Kasodhan Iron Store,Mill Chungi Naka Purani Bazar Tulsipur,Opens 09:00 AM - Closes 21:00 PM,"27.445682,82.1496049999999",9919173498
Indian Traders,Govind Baugh Near Sai Mandir Balram,Opens 09:00 AM - Closes 21:00 PM,"27.445682,82.1496049999999",NULL
Suneel Traders,Patel Nagar Mankapur Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.060122,82.227089",8931896275
Vijaylaxmi Traders,Gaura Chowki Babhnan Road Gonda,Opens 09:00 AM - Closes 21:00 PM,"27.090869,82.4969329999999",9451608189
Metro Paints & Hardware,Khatripura Modecivil Lines Near Pani Tanki Bahraich,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",9415416074
Indian Lime Store,(Paint Section) Chowk Bazar Bahraich,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",9415121006
Colour Points,Mohalla Raipur Raja Jail Road Bahraich,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",8960259925
J.b Building Material,Civil Line Behraich Up,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",9936489818
Khanna Hardware And Paints,Chowk Bazar Bahraich. 0,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",9839604662
Ahmad Traders,Nazirpura Porvi Behraich,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",9984534013
Ritesh Lime & Paints,Near Anand Hotelchitrasala Road Bahraich Up,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",9838421887
Guddu Traders,Banjari Moad Behraich,Opens 09:00 AM - Closes 21:00 PM,"27.544025,81.636387",9450425565
Hans Enterprises,211payagpur Bahraich,Opens 09:00 AM - Closes 21:00 PM,"27.422975,81.756825",9721072111
Maurya Hardwear,Dhanghata Sant Kabir Nagar Sant Kabir Nagar Khalilabad,Opens 09:00 AM - Closes 21:00 PM,"26.554984,83.0146529999999",7880775830
M/s Jay Ram & Brothers,Mahadeva Bazaar Gorakhpur None,Opens 09:00 AM - Closes 21:00 PM,"26.574518,83.1756189999999",9451804534
R K Nandwani Enterprises,Opp. Jubli Inter College Jublee Road Gorakhpur.,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9415280511
Jaiswal Brothers,Shahmaruf Gorakhpur.,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9889826206
Colour House,C/O Agrahari Bldg Material Opp. Vatika Cancer Hospital Shahpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9919928536
Sri Ram Traders,Kunarghat Chowk Gorakhpur Kunraghat,Opens 09:00 AM - Closes 21:00 PM,"26.744774,83.427",9415169402
M/s Ashish Traders,Ramnagar Karjaha Po.Bhasaha Karjaha,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9793058962
Gupta Traders,146 Hansupur 0,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9559133955
Shri Narayan Traders,Chowk Khalilabad 0,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9236160510
Babu Lal Ashok Kumar,Block Gate Tamkuhiraj Kushinagar,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9453252461
Maa Bharvi Iron Store,Station Road Sahjanwa Market Post: Sahjanwa,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9838008392
M/s Gupta Sales Corporation,H No 985 Turkmanpur Near Basantpur Chauk Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9532782210
Jaiswal Brothers,Phulwariya Mahui Sugharpur Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9506612944
Om Sai Traders,Moh Alahadpur Near Shitala Mandir Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9307928473
M/s Sri Balajee Trading Company,Moharipur Bazar Jungle Beni Madhav No 2 Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9616449482
Shanti Trading Company,Gandhi Chowk Salempur Distt: Deoria (U.P),Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9415320024
M/s Azad Traders,Rustampur Bharwaliya Shivpuri New Colony Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9956664089
Sanjay Pipe Stores,Nehru Market Khajini Road Banshgaw Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9628726582
New Kapoor Paints,Cinema Road Goleghar 0,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9415212126
M/s Roshan Lal Brij Mohan,Old Thana Road Kalawali Kalawali,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9991095288
Rangoli Paints And Hardware,Rehman Market Askerganj Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9717762639
Sahu Paints,Maya Bazar (South) Near Kotwali Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9026873943
R.k.traders,Reti Road Maya Bazar Gorakhpur-273001.,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9415339321
M/s Saraswati Enterprises,Shivpur Sahbajganj Padri Bazar Gorakhpur Uttar Pradesh- 273001,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",7084224041
Ashok Steel Tradind,Station Road Post: Salempur. Dist: Deoria.,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9838785111
Shivam Traders,Raiganj Road Alahladpur Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9935876049
Raghunath Sanitary & Hardware,Partaval Chowk Gorakhpur Road Maharajganj,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9415739850
M/s R.n Enterprises,Padri Bazar Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9198717626
M/s Virendra Bahadur Sahi,Kaushik Bhawan Rustampur Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9935732335
Maruti Ply And Hardware,Abdul Hameed Nagar Pipiganj Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",8896889665
M/s Shyam Paint And Hardware,Moh. Azad Nagar Gorakhnath Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9792507250
Vishal Bharat Paint House,Arya Nagar Gorakhpur Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9235739001
Nikhil H/w & Paints,85 B Kharaiya Pokra Basharatpur Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9305854471
Chaudhary Traders,Dharamshala Bazar Gorakhpur Gorakhpur,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",8423751087
Sri Raj Hardware & Ply Center,Thoothibari State Bank Road Maharajganj,Opens 09:00 AM - Closes 21:00 PM,"26.74485,83.365582",9454516930
